id,date,energyreal_wac_sum_consumed,energyreal_wac_sum_produced,current_ac_sum,powerreal_p_sum,reference,voltage_ac_phase_average
1154022,"['Jan', '21', '2022', '00:00:43']",17434600.0,229895.0,90.4654,10378.3,comfenalco1-meter,129.595
1151075,"['Jan', '20', '2022', '20:01:59']",6482120.0,6548.0,20.1537,2461.36,edlv-meter,125.76
1151076,"['Jan', '20', '2022', '20:02:03']",6482120.0,6548.0,19.9061,2431.07,edlv-meter,125.821
1151077,"['Jan', '20', '2022', '20:02:09']",1587340.0,5700090.0,-55.9258,-6598.17,takurika1-meter,122.265
1151078,"['Jan', '20', '2022', '20:02:18']",1587340.0,5700200.0,-55.7437,-6571.84,takurika1-meter,122.202
1151079,"['Jan', '20', '2022', '20:02:25']",17391900.0,229895.0,134.145,12453.2,comfenalco1-meter,129.432
1151080,"['Jan', '20', '2022', '20:02:27']",1587340.0,5700200.0,-55.6168,-6557.55,takurika1-meter,122.175
1151081,"['Jan', '20', '2022', '20:02:33']",17392100.0,229895.0,128.052,11662.4,comfenalco1-meter,129.469
1151082,"['Jan', '20', '2022', '20:02:38']",1587340.0,5700200.0,-56.0075,-6602.94,takurika1-meter,122.11
1151083,"['Jan', '20', '2022', '20:02:43']",17392100.0,229895.0,122.387,10930.3,comfenalco1-meter,129.399
1151084,"['Jan', '20', '2022', '20:02:47']",1587340.0,5700200.0,-56.0604,-6606.48,takurika1-meter,122.13
